word,emotion
嚇了一跳,anger
嚇了一跳,anticipation
嚇了一跳,disgust
嚇了一跳,fear
嚇了一跳,joy
嚇了一跳,sadness
嚇了一跳,surprise
嚇了一跳,trust
算盤,anger
算盤,anticipation
算盤,disgust
算盤,fear
算盤,joy
算盤,sadness
算盤,surprise
算盤,trust
放棄,anger
放棄,anticipation
放棄,disgust
放棄,fear
放棄,joy
放棄,sadness
放棄,surprise
放棄,trust
棄,anger
棄,anticipation
棄,disgust
棄,fear
棄,joy
棄,sadness
棄,surprise
棄,trust
放棄,anger
放棄,anticipation
放棄,disgust
放棄,fear
放棄,joy
放棄,sadness
放棄,surprise
放棄,trust
殺,anger
殺,anticipation
殺,disgust
殺,fear
殺,joy
殺,sadness
殺,surprise
殺,trust
減排,anger
減排,anticipation
減排,disgust
減排,fear
減排,joy
減排,sadness
減排,surprise
減排,trust
ABBA,anger
ABBA,anticipation
ABBA,disgust
ABBA,fear
ABBA,joy
ABBA,sadness
ABBA,surprise
ABBA,trust
方丈,anger
方丈,anticipation
方丈,disgust
方丈,fear
方丈,joy
方丈,sadness
方丈,surprise
方丈,trust
簡略,anger
簡略,anticipation
簡略,disgust
簡略,fear
簡略,joy
簡略,sadness
簡略,surprise
簡略,trust
縮寫,anger
縮寫,anticipation
縮寫,disgust
縮寫,fear
縮寫,joy
縮寫,sadness
縮寫,surprise
縮寫,trust
腹部,anger
腹部,anticipation
腹部,disgust
腹部,fear
腹部,joy
腹部,sadness
腹部,surprise
腹部,trust
腹部的,anger
腹部的,anticipation
腹部的,disgust
腹部的,fear
腹部的,joy
腹部的,sadness
腹部的,surprise
腹部的,trust
綁架,anger
綁架,anticipation
綁架,disgust
綁架,fear
綁架,joy
綁架,sadness
綁架,surprise
綁架,trust
異常,anger
異常,anticipation
異常,disgust
異常,fear
異常,joy
異常,sadness
異常,surprise
異常,trust
像差,anger
像差,anticipation
像差,disgust
像差,fear
像差,joy
像差,sadness
像差,surprise
像差,trust
暫時保留,anger
暫時保留,anticipation
暫時保留,disgust
暫時保留,fear
暫時保留,joy
暫時保留,sadness
暫時保留,surprise
暫時保留,trust
痛恨,anger
痛恨,anticipation
痛恨,disgust
痛恨,fear
痛恨,joy
痛恨,sadness
痛恨,surprise
痛恨,trust
可惡,anger
可惡,anticipation
可惡,disgust
可惡,fear
可惡,joy
可惡,sadness
可惡,surprise
可惡,trust
遵守,anger
遵守,anticipation
遵守,disgust
遵守,fear
遵守,joy
遵守,sadness
遵守,surprise
遵守,trust
能力,anger
能力,anticipation
能力,disgust
能力,fear
能力,joy
能力,sadness
能力,surprise
能力,trust
卑劣,anger
卑劣,anticipation
卑劣,disgust
卑劣,fear
卑劣,joy
卑劣,sadness
卑劣,surprise
卑劣,trust
切除,anger
切除,anticipation
切除,disgust
切除,fear
切除,joy
切除,sadness
切除,surprise
切除,trust
熾盛,anger
熾盛,anticipation
熾盛,disgust
熾盛,fear
熾盛,joy
熾盛,sadness
熾盛,surprise
熾盛,trust
不正常,anger
不正常,anticipation
不正常,disgust
不正常,fear
不正常,joy
不正常,sadness
不正常,surprise
不正常,trust
船上,anger
船上,anticipation
船上,disgust
船上,fear
船上,joy
船上,sadness
船上,surprise
船上,trust
住所,anger
住所,anticipation
住所,disgust
住所,fear
住所,joy
住所,sadness
住所,surprise
住所,trust
廢除,anger
廢除,anticipation
廢除,disgust
廢除,fear
廢除,joy
廢除,sadness
廢除,surprise
廢除,trust
廢除,anger
廢除,anticipation
廢除,disgust
廢除,fear
廢除,joy
廢除,sadness
廢除,surprise
廢除,trust
可惡,anger
可惡,anticipation
可惡,disgust
可惡,fear
可惡,joy
可惡,sadness
可惡,surprise
可惡,trust
厭惡,anger
厭惡,anticipation
厭惡,disgust
厭惡,fear
厭惡,joy
厭惡,sadness
厭惡,surprise
厭惡,trust
土著,anger
土著,anticipation
土著,disgust
土著,fear
土著,joy
土著,sadness
土著,surprise
土著,trust
退出,anger
退出,anticipation
退出,disgust
退出,fear
退出,joy
退出,sadness
退出,surprise
退出,trust
流產,anger
流產,anticipation
流產,disgust
流產,fear
流產,joy
流產,sadness
流產,surprise
流產,trust
未遂,anger
未遂,anticipation
未遂,disgust
未遂,fear
未遂,joy
未遂,sadness
未遂,surprise
未遂,trust
盛產,anger
盛產,anticipation
盛產,disgust
盛產,fear
盛產,joy
盛產,sadness
盛產,surprise
盛產,trust
磨損,anger
磨損,anticipation
磨損,disgust
磨損,fear
磨損,joy
磨損,sadness
磨損,surprise
磨損,trust
國外,anger
國外,anticipation
國外,disgust
國外,fear
國外,joy
國外,sadness
國外,surprise
國外,trust
廢除,anger
廢除,anticipation
廢除,disgust
廢除,fear
廢除,joy
廢除,sadness
廢除,surprise
廢除,trust
突兀,anger
突兀,anticipation
突兀,disgust
突兀,fear
突兀,joy
突兀,sadness
突兀,surprise
突兀,trust
突然,anger
突然,anticipation
突然,disgust
突然,fear
突然,joy
突然,sadness
突然,surprise
突然,trust
膿腫,anger
膿腫,anticipation
膿腫,disgust
膿腫,fear
膿腫,joy
膿腫,sadness
膿腫,surprise
膿腫,trust
缺席,anger
缺席,anticipation
缺席,disgust
缺席,fear
缺席,joy
缺席,sadness
缺席,surprise
缺席,trust
缺席,anger
缺席,anticipation
缺席,disgust
缺席,fear
缺席,joy
缺席,sadness
缺席,surprise
缺席,trust
缺席者,anger
缺席者,anticipation
缺席者,disgust
缺席者,fear
缺席者,joy
缺席者,sadness
缺席者,surprise
缺席者,trust
曠工,anger
曠工,anticipation
曠工,disgust
曠工,fear
曠工,joy
曠工,sadness
曠工,surprise
曠工,trust
苦艾酒,anger
苦艾酒,anticipation
苦艾酒,disgust
苦艾酒,fear
苦艾酒,joy
苦艾酒,sadness
苦艾酒,surprise
苦艾酒,trust
絕對,anger
絕對,anticipation
絕對,disgust
絕對,fear
絕對,joy
絕對,sadness
絕對,surprise
絕對,trust
赦免,anger
赦免,anticipation
赦免,disgust
赦免,fear
赦免,joy
赦免,sadness
赦免,surprise
赦免,trust
吸收,anger
吸收,anticipation
吸收,disgust
吸收,fear
吸收,joy
吸收,sadness
吸收,surprise
吸收,trust
吸水,anger
吸水,anticipation
吸水,disgust
吸水,fear
吸水,joy
吸水,sadness
吸水,surprise
吸水,trust
吸收,anger
吸收,anticipation
吸收,disgust
吸收,fear
吸收,joy
吸收,sadness
吸收,surprise
吸收,trust
吸收,anger
吸收,anticipation
吸收,disgust
吸收,fear
吸收,joy
吸收,sadness
吸收,surprise
吸收,trust
避免,anger
避免,anticipation
避免,disgust
避免,fear
避免,joy
避免,sadness
避免,surprise
避免,trust
棄權,anger
棄權,anticipation
棄權,disgust
棄權,fear
棄權,joy
棄權,sadness
棄權,surprise
棄權,trust
節制,anger
節制,anticipation
節制,disgust
節制,fear
節制,joy
節制,sadness
節制,surprise
節制,trust
抽象,anger
抽象,anticipation
抽象,disgust
抽象,fear
抽象,joy
抽象,sadness
抽象,surprise
抽象,trust
抽象化,anger
抽象化,anticipation
抽象化,disgust
抽象化,fear
抽象化,joy
抽象化,sadness
抽象化,surprise
抽象化,trust
荒誕,anger
荒誕,anticipation
荒誕,disgust
荒誕,fear
荒誕,joy
荒誕,sadness
荒誕,surprise
荒誕,trust
荒謬,anger
荒謬,anticipation
荒謬,disgust
荒謬,fear
荒謬,joy
荒謬,sadness
荒謬,surprise
荒謬,trust
豐富,anger
豐富,anticipation
豐富,disgust
豐富,fear
豐富,joy
豐富,sadness
豐富,surprise
豐富,trust
豐富,anger
豐富,anticipation
豐富,disgust
豐富,fear
豐富,joy
豐富,sadness
豐富,surprise
豐富,trust
濫用,anger
濫用,anticipation
濫用,disgust
