word,emotion
zurück,anger
zurück,anticipation
zurück,disgust
zurück,fear
zurück,joy
zurück,sadness
zurück,surprise
zurück,trust
Abakus,anger
Abakus,anticipation
Abakus,disgust
Abakus,fear
Abakus,joy
Abakus,sadness
Abakus,surprise
Abakus,trust
verlassen,anger
verlassen,anticipation
verlassen,disgust
verlassen,fear
verlassen,joy
verlassen,sadness
verlassen,surprise
verlassen,trust
verlassen,anger
verlassen,anticipation
verlassen,disgust
verlassen,fear
verlassen,joy
verlassen,sadness
verlassen,surprise
verlassen,trust
Aufgabe,anger
Aufgabe,anticipation
Aufgabe,disgust
Aufgabe,fear
Aufgabe,joy
Aufgabe,sadness
Aufgabe,surprise
Aufgabe,trust
ablassen,anger
ablassen,anticipation
ablassen,disgust
ablassen,fear
ablassen,joy
ablassen,sadness
ablassen,surprise
ablassen,trust
Minderung,anger
Minderung,anticipation
Minderung,disgust
Minderung,fear
Minderung,joy
Minderung,sadness
Minderung,surprise
Minderung,trust
abba,anger
abba,anticipation
abba,disgust
abba,fear
abba,joy
abba,sadness
abba,surprise
abba,trust
Abt,anger
Abt,anticipation
Abt,disgust
Abt,fear
Abt,joy
Abt,sadness
Abt,surprise
Abt,trust
abkürzen,anger
abkürzen,anticipation
abkürzen,disgust
abkürzen,fear
abkürzen,joy
abkürzen,sadness
abkürzen,surprise
abkürzen,trust
Abkürzung,anger
Abkürzung,anticipation
Abkürzung,disgust
Abkürzung,fear
Abkürzung,joy
Abkürzung,sadness
Abkürzung,surprise
Abkürzung,trust
Abdomen,anger
Abdomen,anticipation
Abdomen,disgust
Abdomen,fear
Abdomen,joy
Abdomen,sadness
Abdomen,surprise
Abdomen,trust
Bauch,anger
Bauch,anticipation
Bauch,disgust
Bauch,fear
Bauch,joy
Bauch,sadness
Bauch,surprise
Bauch,trust
Entführung,anger
Entführung,anticipation
Entführung,disgust
Entführung,fear
Entführung,joy
Entführung,sadness
Entführung,surprise
Entführung,trust
anomal,anger
anomal,anticipation
anomal,disgust
anomal,fear
anomal,joy
anomal,sadness
anomal,surprise
anomal,trust
Abweichung,anger
Abweichung,anticipation
Abweichung,disgust
Abweichung,fear
Abweichung,joy
Abweichung,sadness
Abweichung,surprise
Abweichung,trust
Schwebe,anger
Schwebe,anticipation
Schwebe,disgust
Schwebe,fear
Schwebe,joy
Schwebe,sadness
Schwebe,surprise
Schwebe,trust
verabscheuen,anger
verabscheuen,anticipation
verabscheuen,disgust
verabscheuen,fear
verabscheuen,joy
verabscheuen,sadness
verabscheuen,surprise
verabscheuen,trust
abscheulich,anger
abscheulich,anticipation
abscheulich,disgust
abscheulich,fear
abscheulich,joy
abscheulich,sadness
abscheulich,surprise
abscheulich,trust
verweilen,anger
verweilen,anticipation
verweilen,disgust
verweilen,fear
verweilen,joy
verweilen,sadness
verweilen,surprise
verweilen,trust
Fähigkeit,anger
Fähigkeit,anticipation
Fähigkeit,disgust
Fähigkeit,fear
Fähigkeit,joy
Fähigkeit,sadness
Fähigkeit,surprise
Fähigkeit,trust
abwesend,anger
abwesend,anticipation
abwesend,disgust
abwesend,fear
abwesend,joy
abwesend,sadness
abwesend,surprise
abwesend,trust
Ablation,anger
Ablation,anticipation
Ablation,disgust
Ablation,fear
Ablation,joy
Ablation,sadness
Ablation,surprise
Ablation,trust
in Flammen,anger
in Flammen,anticipation
in Flammen,disgust
in Flammen,fear
in Flammen,joy
in Flammen,sadness
in Flammen,surprise
in Flammen,trust
abnormal,anger
abnormal,anticipation
abnormal,disgust
abnormal,fear
abnormal,joy
abnormal,sadness
abnormal,surprise
abnormal,trust
an Bord,anger
an Bord,anticipation
an Bord,disgust
an Bord,fear
an Bord,joy
an Bord,sadness
an Bord,surprise
an Bord,trust
Aufenthalt,anger
Aufenthalt,anticipation
Aufenthalt,disgust
Aufenthalt,fear
Aufenthalt,joy
Aufenthalt,sadness
Aufenthalt,surprise
Aufenthalt,trust
abschaffen,anger
abschaffen,anticipation
abschaffen,disgust
abschaffen,fear
abschaffen,joy
abschaffen,sadness
abschaffen,surprise
abschaffen,trust
Abschaffung,anger
Abschaffung,anticipation
Abschaffung,disgust
Abschaffung,fear
Abschaffung,joy
Abschaffung,sadness
Abschaffung,surprise
Abschaffung,trust
abscheulich,anger
abscheulich,anticipation
abscheulich,disgust
abscheulich,fear
abscheulich,joy
abscheulich,sadness
abscheulich,surprise
abscheulich,trust
Gräuel,anger
Gräuel,anticipation
Gräuel,disgust
Gräuel,fear
Gräuel,joy
Gräuel,sadness
Gräuel,surprise
Gräuel,trust
Ureinwohner,anger
Ureinwohner,anticipation
Ureinwohner,disgust
Ureinwohner,fear
Ureinwohner,joy
Ureinwohner,sadness
Ureinwohner,surprise
Ureinwohner,trust
abbrechen,anger
abbrechen,anticipation
abbrechen,disgust
abbrechen,fear
abbrechen,joy
abbrechen,sadness
abbrechen,surprise
abbrechen,trust
Abtreibung,anger
Abtreibung,anticipation
Abtreibung,disgust
Abtreibung,fear
Abtreibung,joy
Abtreibung,sadness
Abtreibung,surprise
Abtreibung,trust
abtreibend,anger
abtreibend,anticipation
abtreibend,disgust
abtreibend,fear
abtreibend,joy
abtreibend,sadness
abtreibend,surprise
abtreibend,trust
